t,X_p,X_emb,S,H,H_b,R,I_emb,I_p,I,A,M,J,C_W_1,D_G_1,D_M_1,D_A_1,D_R_1,D_h_1,y_G,y_M,y_A,y_R,h_z,h_S
1.0169771148399889,0.0002015467376176859,2.603850013545505e-13,2.2708332583039067e-7,1.138243908337059e-7,5.691289421944853e-8,0.0,1.6171217215071674e-6,1.2680152972634807e-14,1.61712173418732e-6,5.336501722799485e-7,4.4455197124011536e-8,1.8365031921407475e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0169772557744858,0.0002015467517005863,-2.6418996262842856e-13,2.2708339417275792e-7,1.138244266932436e-7,5.6912912149217374e-8,0.0,1.6171222460821312e-6,1.2680152972634807e-14,1.617122258762284e-6,5.336503453896866e-7,4.4455216006303036e-8,1.8365040006468783e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0169775365946958,0.00020154677975809545,-4.3969401440018337e-13,2.270833839729663e-7,1.138244322536818e-7,5.691291492943646e-8,0.0,1.6171224215861827e-6,1.6171952101720484e-14,1.6171224377581342e-6,5.336504044583172e-7,4.445525363036781e-8,1.8365056116424964e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.016977966308182,0.00020154682269184578,-6.858288920078394e-13,2.2708336459142447e-7,1.1382443906354724e-7,5.691291833436917e-8,0.0,1.6171226677210598e-6,2.1605156441203553e-14,1.6171226893262154e-6,5.336504874757842e-7,4.4455311203032004e-8,1.836508076801981e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.016980264659083,0.000201547052322738,-1.229787093342392e-12,2.2708313091616867e-7,1.1382441696108174e-7,5.69129072831364e-8,0.0,1.6171232116792609e-6,5.376645304981867e-14,1.6171232654457131e-6,5.336506775952182e-7,4.44556191340108e-8,1.8365212618675863e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0169836473675509,0.00020154739029150842,-1.647295732735553e-12,2.2708272252105835e-7,1.1382435540794973e-7,5.691287650657039e-8,0.0,1.6171236291879e-6,1.0263941617711897e-13,1.617123731827315e-6,5.336508315011468e-7,4.445607234562231e-8,1.836540667615767e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.016990708758412,0.00020154809579837167,-2.1104216195878723e-12,2.2708180126425097e-7,1.1382419597414188e-7,5.691279678966645e-8,0.0,1.6171240923137862e-6,2.0630131422250777e-13,1.6171242986150994e-6,5.336510185411155e-7,4.445701842031574e-8,1.8365811769998295e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0170045396824863,0.0002015494776507296,-2.5856284941869605e-12,2.2707992415133094e-7,1.1382385097600513e-7,5.691262429059808e-8,0.0,1.6171245675206597e-6,4.1107481451147665e-13,1.617124978595473e-6,5.336512429346387e-7,4.445887145565028e-8,1.8366605212805978e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.017031317262739,0.00020155215300616774,-3.0650312331261793e-12,2.270762158275906e-7,1.1382314965835485e-7,5.6912273631772935e-8,0.0,1.6171250469233976e-6,8.092995475487359e-13,1.617125856222944e-6,5.33651532551704e-7,4.446245900999924e-8,1.8368141363287443e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
1.0170828836531862,0.00020155730501669782,-3.545422361424071e-12,2.2706900025232982e-7,1.1382176557635843e-7,5.6911581590774745e-8,0.0,1.6171255273145248e-6,1.5779531899259109e-12,1.6171271052677136e-6,5.336519447364779e-7,4.446936750497837e-8,1.8371099547304418e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0
